2018-12-20 14:45:58.743190: A record in table 'RainMeasurement' with ('id = 24897, measurement = 100, timestamp = 2018-12-20 14:45:58.632955, type = raindrops, unit = %') has been created.
2018-12-20 14:45:58.788529: A record in table 'TemperatureMeasurement' with ('id = 24897, measurement = 21.1302524961764, timestamp = 2018-12-20 14:45:58.645906, type = temperature, unit = C') has been created.
2018-12-20 14:45:58.823574: A record in table 'SoilMeasurement' with ('id = 24897, measurement = 100, timestamp = 2018-12-20 14:45:58.631807, type = soil_moisture, unit = %') has been created.
2018-12-20 14:45:58.875444: A record in table 'HumidityMeasurement' with ('id = 24897, measurement = 55.09098622274153, timestamp = 2018-12-20 14:45:58.645906, type = humidity, unit = rH') has been created.
2018-12-20 14:45:58.915070: A record in table 'PressureMeasurement' with ('id = 24897, measurement = 1018.3282298522963, timestamp = 2018-12-20 14:45:58.645906, type = pressure, unit = hPa') has been created.
2018-12-22 12:05:44.703749: A record in table 'RainMeasurement' with ('id = 25203, measurement = 32767, timestamp = 2018-12-22 12:05:44.602952, type = raindrops, unit = %') has been created.
2018-12-22 12:05:44.762755: A record in table 'SoilMeasurement' with ('id = 25203, measurement = 32767, timestamp = 2018-12-22 12:05:44.602952, type = soil_moisture, unit = %') has been created.
2018-12-22 12:05:44.812122: A record in table 'PressureMeasurement' with ('id = 25203, measurement = 1018.3525213111716, timestamp = 2018-12-22 12:05:44.579785, type = pressure, unit = hPa') has been created.
2018-12-22 12:05:44.854525: A record in table 'TemperatureMeasurement' with ('id = 25203, measurement = 20.90371715054498, timestamp = 2018-12-22 12:05:44.579785, type = temperature, unit = C') has been created.
2018-12-22 12:05:44.896386: A record in table 'HumidityMeasurement' with ('id = 25203, measurement = 55.126479333700146, timestamp = 2018-12-22 12:05:44.579785, type = humidity, unit = rH') has been created.
2018-12-22 12:07:24.523645: A record in table 'SoilMeasurement' with ('id = 25204, measurement = 14018, timestamp = 2018-12-22 12:07:24.444240, type = soil_moisture, unit = %') has been created.
2018-12-22 12:07:24.568668: A record in table 'HumidityMeasurement' with ('id = 25204, measurement = 54.93087238223276, timestamp = 2018-12-22 12:07:24.421187, type = humidity, unit = rH') has been created.
2018-12-22 12:07:24.606068: A record in table 'TemperatureMeasurement' with ('id = 25204, measurement = 20.93895594337955, timestamp = 2018-12-22 12:07:24.421187, type = temperature, unit = C') has been created.
2018-12-22 12:07:24.648791: A record in table 'RainMeasurement' with ('id = 25204, measurement = 32767, timestamp = 2018-12-22 12:07:24.444240, type = raindrops, unit = %') has been created.
2018-12-22 12:07:24.690834: A record in table 'PressureMeasurement' with ('id = 25204, measurement = 1018.3538202034134, timestamp = 2018-12-22 12:07:24.421187, type = pressure, unit = hPa') has been created.
2018-12-22 12:07:45.052049: A record in table 'PressureMeasurement' with ('id = 25205, measurement = 1018.4357363155872, timestamp = 2018-12-22 12:07:44.950315, type = pressure, unit = hPa') has been created.
2018-12-22 12:07:45.099603: A record in table 'HumidityMeasurement' with ('id = 25205, measurement = 54.84702781219635, timestamp = 2018-12-22 12:07:44.950315, type = humidity, unit = rH') has been created.
2018-12-22 12:07:45.132482: A record in table 'SoilMeasurement' with ('id = 25205, measurement = 14567, timestamp = 2018-12-22 12:07:44.973373, type = soil_moisture, unit = %') has been created.
2018-12-22 12:07:45.172150: A record in table 'TemperatureMeasurement' with ('id = 25205, measurement = 20.95405828753137, timestamp = 2018-12-22 12:07:44.950315, type = temperature, unit = C') has been created.
2018-12-22 12:07:45.216532: A record in table 'RainMeasurement' with ('id = 25205, measurement = 32767, timestamp = 2018-12-22 12:07:44.973373, type = raindrops, unit = %') has been created.
2018-12-22 12:08:53.111794: A record in table 'TemperatureMeasurement' with ('id = 25206, measurement = 20.93895594337955, timestamp = 2018-12-22 12:08:52.987528, type = temperature, unit = C') has been created.
2018-12-22 12:08:53.169635: A record in table 'RainMeasurement' with ('id = 25206, measurement = 5393, timestamp = 2018-12-22 12:08:53.010528, type = raindrops, unit = %') has been created.
2018-12-22 12:08:53.223106: A record in table 'PressureMeasurement' with ('id = 25206, measurement = 1018.4392471760302, timestamp = 2018-12-22 12:08:52.987528, type = pressure, unit = hPa') has been created.
2018-12-22 12:08:53.275649: A record in table 'SoilMeasurement' with ('id = 25206, measurement = 32767, timestamp = 2018-12-22 12:08:53.010528, type = soil_moisture, unit = %') has been created.
